Step,Node,Series,ElapsedTime,EpochTime,CPUFrequency,CPUTime,CPUUtilization,RSS,VMSize,Pages,ReadMB,WriteMB
-4,r3117156-n136082,0,0,1614916744,3363,0.0,0.0,2208,168340,0,0.0,0.0
-4,r3117156-n136082,0,10,1614916754,3363,0.0,0.0,816,7776,0,0.0018579999999999998,0.0022429999999999998
-4,r3117156-n136082,0,20,1614916764,3363,0.0,0.0,816,7776,0,0.0,0.0
-4,r3117156-n136082,0,30,1614916774,3363,0.0,0.0,816,7776,0,0.0,0.0
-4,r3117156-n136082,0,40,1614916784,3363,0.0,0.0,816,7776,0,0.0,0.0
-4,r3117156-n136082,0,50,1614916794,3363,0.0,0.0,816,7776,0,0.0,0.0
-4,r3117156-n136082,0,60,1614916804,3363,0.0,0.0,816,7776,0,0.0,0.0
-4,r3117156-n136082,0,70,1614916814,3363,0.0,0.0,816,7776,0,0.0,0.0
-4,r3117156-n136082,0,80,1614916824,3363,0.0,0.0,816,7776,0,0.0,0.0
-4,r3117156-n136082,0,90,1614916834,3363,0.0,0.0,816,7776,0,0.0,0.0
-4,r3117156-n136082,0,100,1614916844,3363,0.0,0.0,816,7776,0,0.0,0.0
-4,r3117156-n136082,0,110,1614916854,3363,0.0,0.0,816,7776,0,0.0,0.0
-4,r3117156-n136082,0,120,1614916864,3363,0.0,0.0,816,7776,0,0.0,0.0
-4,r3117156-n136082,0,130,1614916874,3363,0.0,0.0,816,7776,0,0.0,0.0
-4,r3117156-n136082,0,140,1614916884,3363,0.0,0.0,816,7776,0,0.0,0.0
-4,r3117156-n136082,0,150,1614916894,3363,0.0,0.0,816,7776,0,0.0,0.0
-4,r3117156-n136082,0,160,1614916904,3363,0.0,0.0,816,7776,0,0.0,0.0
-4,r3117156-n136082,0,170,1614916914,3363,0.0,0.0,816,7776,0,0.0,0.0
-4,r3117156-n136082,0,180,1614916924,3363,0.0,0.0,816,7776,0,0.0,0.0
-4,r3117156-n136082,0,190,1614916934,3363,0.0,0.0,816,7776,0,0.0,0.0
-4,r3117156-n136082,0,200,1614916944,3363,0.0,0.0,816,7776,0,0.0,0.0
-4,r3117156-n136082,0,210,1614916954,3363,0.0,0.0,816,7776,0,0.0,0.0
-4,r3117156-n136082,0,220,1614916964,3363,0.0,0.0,816,7776,0,0.0,0.0
-4,r3117156-n136082,0,230,1614916974,3363,0.0,0.0,816,7776,0,0.0,0.0
-4,r3117156-n136082,0,240,1614916984,3363,0.0,0.0,816,7776,0,0.0,0.0
-4,r3117156-n136082,0,250,1614916994,3363,0.0,0.0,816,7776,0,0.0,0.0
-4,r3117156-n136082,0,260,1614917004,3363,0.0,0.0,816,7776,0,0.0,0.0
-4,r3117156-n136082,0,270,1614917014,3363,0.0,0.0,816,7776,0,0.0,0.0
-4,r3117156-n136082,0,280,1614917024,3363,0.0,0.0,816,7776,0,0.0,0.0
-4,r3117156-n136082,0,290,1614917034,3363,0.0,0.0,816,7776,0,0.0,0.0
