id_job,id_array_job,id_array_task,id_user,kill_requid,nodes_alloc,nodelist,cpus_req,derived_ec,exit_code,gres_used,array_max_tasks,array_task_pending,constraints,flags,mem_req,partition,priority,state,timelimit,time_submit,time_eligible,time_start,time_end,time_suspended,track_steps,tres_alloc,tres_req,job_type
82691694838059,38873353215144,2504,42770088536256,61026541062099,1,['r9189566-n911952'],20,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10237,3,4294967295,1609535703,1609535704,1609806297,1609806605,0,0,"1=20,2=170000,4=1,5=20","1=20,2=170000,4=1,5=20",OTHER
3434806870797,38873353215144,2523,42770088536256,61026541062099,1,['r9189566-n911952'],20,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10237,3,4294967295,1609535703,1609535704,1609806607,1609807004,0,0,"1=20,2=170000,4=1,5=20","1=20,2=170000,4=1,5=20",OTHER
8370846758272,38873353215144,2543,42770088536256,61026541062099,1,['r9189566-n911952'],20,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10237,3,4294967295,1609535703,1609535704,1609807004,1609807331,0,0,"1=20,2=170000,4=1,5=20","1=20,2=170000,4=1,5=20",OTHER
50552783599355,16618712154521,4294967294,28063009141185,61026541062099,1,['r2100214-n851693'],1,9,35072,,0,0,xeon-g6,2,9223372036854784308,normal,110413,5,1440,1609807695,1609807695,1609807695,1609811546,0,0,"1=40,2=340000,4=1,5=40","1=1,2=8500,4=1,5=1",LLSUB:INTERACTIVE
16051179268048,74939912707152,2625,42770088536256,61026541062099,1,['r9189566-n911952'],20,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10239,3,4294967295,1609535912,1609535912,1609808470,1609808777,0,0,"1=20,2=170000,4=1,5=20","1=20,2=170000,4=1,5=20",OTHER
26940411750496,16618712154521,4294967294,78105663882022,61026541062099,1,['r9535192-n386398'],1,0,33280,,0,0,xeon-g6,2,9223372036854784308,normal,110692,5,1440,1609808481,1609808481,1609808481,1609818623,0,0,"1=1,2=8500,4=1,5=1","1=1,2=8500,4=1,5=1",LLSUB:INTERACTIVE
26419036762941,84173100828392,0,11289836447956,61026541062099,1,['r9535192-n386398'],1,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10771,3,4294967295,1609809099,1609809100,1609809100,1609809460,0,0,"1=1,2=8500,4=1,5=1","1=1,2=8500,4=1,5=1",OTHER
84007780551106,84173100828392,1,11289836447956,61026541062099,1,['r9535192-n386398'],1,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10771,3,4294967295,1609809099,1609809100,1609809100,1609809460,0,0,"1=1,2=8500,4=1,5=1","1=1,2=8500,4=1,5=1",OTHER
18898577480687,84173100828392,2,11289836447956,61026541062099,1,['r9535192-n386398'],1,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10771,3,4294967295,1609809099,1609809100,1609809100,1609809460,0,0,"1=1,2=8500,4=1,5=1","1=1,2=8500,4=1,5=1",OTHER
16601813966475,84173100828392,3,11289836447956,61026541062099,1,['r9535192-n386398'],1,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10771,3,4294967295,1609809099,1609809100,1609809100,1609809460,0,0,"1=1,2=8500,4=1,5=1","1=1,2=8500,4=1,5=1",OTHER
38979333375258,84173100828392,4,11289836447956,61026541062099,1,['r9535192-n386398'],1,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10771,3,4294967295,1609809099,1609809100,1609809100,1609809460,0,0,"1=1,2=8500,4=1,5=1","1=1,2=8500,4=1,5=1",OTHER
35329673115911,84173100828392,5,11289836447956,61026541062099,1,['r9535192-n386398'],1,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10771,3,4294967295,1609809099,1609809100,1609809100,1609809460,0,0,"1=1,2=8500,4=1,5=1","1=1,2=8500,4=1,5=1",OTHER
24861103430782,84173100828392,6,11289836447956,61026541062099,1,['r9535192-n386398'],1,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10771,3,4294967295,1609809099,1609809100,1609809100,1609809460,0,0,"1=1,2=8500,4=1,5=1","1=1,2=8500,4=1,5=1",OTHER
89917457527500,84173100828392,7,11289836447956,61026541062099,1,['r9535192-n386398'],1,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10771,3,4294967295,1609809099,1609809100,1609809100,1609809460,0,0,"1=1,2=8500,4=1,5=1","1=1,2=8500,4=1,5=1",OTHER
22227065495757,84173100828392,8,11289836447956,61026541062099,1,['r9535192-n386398'],1,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10771,3,4294967295,1609809099,1609809100,1609809100,1609809460,0,0,"1=1,2=8500,4=1,5=1","1=1,2=8500,4=1,5=1",OTHER
22703175825549,84173100828392,9,11289836447956,61026541062099,1,['r9535192-n386398'],1,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10771,3,4294967295,1609809099,1609809100,1609809100,1609809460,0,0,"1=1,2=8500,4=1,5=1","1=1,2=8500,4=1,5=1",OTHER
60208213976003,84173100828392,10,11289836447956,61026541062099,1,['r9535192-n386398'],1,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10771,3,4294967295,1609809099,1609809100,1609809100,1609809460,0,0,"1=1,2=8500,4=1,5=1","1=1,2=8500,4=1,5=1",OTHER
55825520953102,84173100828392,11,11289836447956,61026541062099,1,['r9535192-n386398'],1,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10771,3,4294967295,1609809099,1609809100,1609809100,1609809460,0,0,"1=1,2=8500,4=1,5=1","1=1,2=8500,4=1,5=1",OTHER
63703564518413,84173100828392,12,11289836447956,61026541062099,1,['r9535192-n386398'],1,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10771,3,4294967295,1609809099,1609809100,1609809100,1609809460,0,0,"1=1,2=8500,4=1,5=1","1=1,2=8500,4=1,5=1",OTHER
75573427786572,84173100828392,13,11289836447956,61026541062099,1,['r9535192-n386398'],1,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10771,3,4294967295,1609809099,1609809100,1609809100,1609809460,0,0,"1=1,2=8500,4=1,5=1","1=1,2=8500,4=1,5=1",OTHER
9079523258727,84173100828392,14,11289836447956,61026541062099,1,['r9535192-n386398'],1,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10771,3,4294967295,1609809099,1609809100,1609809100,1609809460,0,0,"1=1,2=8500,4=1,5=1","1=1,2=8500,4=1,5=1",OTHER
31312733031958,84173100828392,15,11289836447956,61026541062099,1,['r9535192-n386398'],1,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10771,3,4294967295,1609809099,1609809100,1609809100,1609809460,0,0,"1=1,2=8500,4=1,5=1","1=1,2=8500,4=1,5=1",OTHER
48977573418154,84173100828392,16,11289836447956,61026541062099,1,['r9535192-n386398'],1,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10771,3,4294967295,1609809099,1609809100,1609809100,1609809460,0,0,"1=1,2=8500,4=1,5=1","1=1,2=8500,4=1,5=1",OTHER
